class_id,class_name,confidence,track_id,bbox,mask
3,car,0.7302351593971252,1,"[1521.462890625, 431.8450622558594, 1685.99658203125, 499.38714599609375]",
3,car,0.8308526873588562,2,"[1485.7724609375, 239.96556091308594, 1625.620361328125, 302.18499755859375]",
3,car,0.7829770445823669,3,"[1536.604736328125, 340.6568908691406, 1680.5660400390625, 396.0157470703125]",
3,car,0.7781733870506287,4,"[520.3314819335938, 974.306396484375, 585.3638305664062, 1080.0]",
3,car,0.6449294686317444,5,"[617.783935546875, 815.3775634765625, 679.3897094726562, 960.83837890625]",
5,truck,0.3844207525253296,6,"[0.039114341139793396, 201.73321533203125, 146.65478515625, 329.3502197265625]",
9,motor,0.1227139383554458,7,"[1906.590576171875, 536.7308349609375, 1920.0, 591.0300903320312]",
3,car,0.7345901727676392,8,"[616.5069580078125, 918.5989990234375, 679.9688110351562, 1066.2705078125]",
4,van,0.5815070867538452,9,"[136.35076904296875, 541.7410278320312, 265.08282470703125, 595.2070922851562]",
3,car,0.43563419580459595,10,"[1898.0269775390625, 417.7723693847656, 1919.9974365234375, 493.4165954589844]",
5,truck,0.4122745394706726,11,"[107.27902221679688, 544.3711547851562, 250.3186492919922, 596.4681396484375]",
0,pedestrian,0.129190906882286,12,"[859.6185302734375, 874.9335327148438, 881.9623413085938, 930.83154296875]",
4,van,0.663118302822113,13,"[0.039167363196611404, 200.23019409179688, 149.27574157714844, 330.35028076171875]",
9,motor,0.2522034049034118,14,"[109.2750015258789, 924.2193603515625, 165.17312622070312, 974.51806640625]",
5,truck,0.4087238013744354,18,"[64.3087158203125, 541.1502685546875, 217.6070098876953, 599.4134521484375]",
4,van,0.3723763525485992,19,"[617.93115234375, 823.128662109375, 679.2225341796875, 974.321044921875]",
4,van,0.4951151907444,20,"[1814.9039306640625, 437.5740051269531, 1919.9305419921875, 492.7666931152344]",
3,car,0.4282694458961487,25,"[1824.24072265625, 439.8350830078125, 1920.0, 492.0265808105469]",
3,car,0.4263432919979095,28,"[518.3406982421875, 946.0654907226562, 585.0733032226562, 1079.875732421875]",
4,van,0.2385420501232147,29,"[615.5047607421875, 889.8501586914062, 679.2144165039062, 1033.159423828125]",
4,van,0.5243954062461853,30,"[97.875244140625, 546.6675415039062, 200.0430908203125, 594.8899536132812]",
4,van,0.3476738035678863,31,"[1600.6502685546875, 335.4927062988281, 1750.849853515625, 396.661865234375]",
3,car,0.5708760023117065,32,"[843.9033203125, 1033.033935546875, 899.465087890625, 1080.0]",
